"market","city","name","description","price_range","latitude","longitude"
"Houston, TX",Houston,Hawker,"$$ • Sandwiches, Traditional Indian Restaurant",$$,29.7662149,-95.3648839
"Houston, TX",Houston,Pinkberry,"$ • Lunch, Family Meals",$,29.7420824,-95.4428501
"Houston, TX",Houston,Jersey Mike's Subs,"$ • Sandwiches, Cheesesteaks",$,29.7720069,-95.3989044
"Houston, TX",Houston,Common Bond Bistro & Bakery,"$$ • Lunch, Pastries",$$,29.7429809,-95.40232
"Houston, TX",Houston,Suko's Burger House,"$$ • Burgers, Fried Rice",$$,29.7474901,-95.3265282
"Houston, TX",Houston,Taquerias Arandas,"$$ • Pickup, Mexican",$$,29.8019357,-95.3614479
"Houston, TX",Houston,Potbelly Sandwich Shop,"$$ • Catering, Sandwich",$$,29.746478,-95.3765896
"Houston, TX",Houston,Pizza Hut,"$$ • Pizza, Chicken Wings",$$,29.751918,-95.3554596
"Houston, TX",Houston,Frenchey's Chicken,"$$ • Wings, Fried Chicken",$$,29.773752,-95.3261149
"Houston, TX",Houston,Diced poke,"$$ • Hawaiian, Poke",$$,29.7391541,-95.3800382
"Houston, TX",Houston,Corner Bakery Cafe,"$ • Brunch, American",$,29.7727817,-95.3988578
"Houston, TX",Houston,Sunny & Fine's Breakfast Burritos,"$$ • Breakfast Burrito, Breakfast & Brunch",$$,29.7531964,-95.3872075
"Houston, TX",Houston,hi trendy dumpling,"$$ • Dumplings, Noodles",$$,29.7724154,-95.3988938
"Houston, TX",Houston,Berryhill Baja Grill,"$$ • Lunch, Sandwich",$$,29.7421284,-95.4163957
"Houston, TX",Houston,Denny's,"$ • Breakfast & Brunch, Family Meals",$,29.7212426,-95.3762061
"Houston, TX",Houston,Menchie's Frozen Yogurt,"$$ • Frozen Yogurt, Cakes",$$,29.8024339,-95.4064433
"Houston, TX",Houston,La Madeleine French Bakery & Cafe,"$ • Lunch, French",$,29.776412,-95.382407
"Houston, TX",Houston,Chatter's Cafe,"$$ • Cafes, Breakfast",$$,29.768141,-95.3975717
"Houston, TX",Houston,Luigi's Pizzeria,"$ • Pickup, Takeout",$,29.735394,-95.374666
"Houston, TX",Houston,Teotihuacan Mexican Cafe,"$$ • Tex-Mex, Breakfast",$$,29.7990045,-95.3821812
"Houston, TX",Houston,McAlister's Deli,"$$ • Salads, Sandwiches",$$,29.816173,-95.41085
"Houston, TX",Houston,Panera Bread,"$ • Salads, Sandwiches",$,29.7529705,-95.4012793
"Houston, TX",Houston,JuiceLand,"$$ • Local, Cold pressed juices",$$,29.7435912,-95.395878
"Houston, TX",Houston,La Calle Tacos,"$ • Takeout, Tacos",$,29.7635455,-95.360686
"Houston, TX",Houston,Gloria's Latin Cuisine,"$$ • Latin American, Tex-Mex",$$,29.7467464,-95.3771169
"Houston, TX",Houston,Your Pie Pizza,"$$ • Pizza, Salads",$$,29.752045,-95.3684882
"Houston, TX",Houston,Asia Market Restaurant,"$$ • Thai, Appetizers",$$,29.80393,-95.36825
"Houston, TX",Houston,Church's Texas Chicken,"$$ • Fast Food, Chicken Tenders",$$,29.736589,-95.3474489
"Houston, TX",Houston,Flower Child,"$$ • Pickup, Takeout",$$,29.7988843,-95.4103956
"Houston, TX",Houston,Dairy Queen,"$ • Fast Food, Ice Cream",$,29.7029031,-95.3570336
"Houston, TX",Houston,Pollo Bravo,"$ • Dessert, Chicken",$,29.7608904145171,-95.4205475763596
"Houston, TX",Houston,Refresqueria at Rice Village,"$$ • Ice Cream, Milk Shakes",$$,29.717034,-95.4147162
"Houston, TX",Houston,The Teahouse Tapioca & Tea,"$$ • Juice Bar, Bubble Tea",$$,29.7801751,-95.398445
"Houston, TX",Houston,Mony's Pizzeria,"$$ • Pizza, Chicken Wings",$$,29.7451662,-95.3776009
"Houston, TX",Houston,Spicy Girl,"$$ • Chinese, Chicken",$$,29.7388727,-95.3801341
"Houston, TX",Houston,Shake Shack,"$$ • Burgers, Chicken",$$,29.7592046,-95.3634382
